,이름,기존 가격,할인된 가격,평점,링크
1,Oppenheimer,US$19.99,드라마,4.6,https://play.google.com/store/movies/details/Oppenheimer?id=vvL-UTgh1w8.P
2,The Equalizer 3,US$5.99,스릴러,4.3,https://play.google.com/store/movies/details/The_Equalizer_3?id=bBaBpPVmy1M.P
3,바비,US$5.99,코미디,4.4,https://play.google.com/store/movies/details/%EB%B0%94%EB%B9%84?id=Md6WzAbrnyU.P
4,미션 임파서블: 데드 레코닝 PART ONE,US$5.99,액션/어드벤처,4.6,https://play.google.com/store/movies/details/%EB%AF%B8%EC%85%98_%EC%9E%84%ED%8C%8C%EC%84%9C%EB%B8%94_%EB%8D%B0%EB%93%9C_%EB%A0%88%EC%BD%94%EB%8B%9D_PART_ONE?id=Rp_goUDRDgw.P
5,The Creator,US$19.99,액션/어드벤처,4.1,https://play.google.com/store/movies/details/The_Creator?id=G-9ONHsrplg.P
6,그린치,US$3.99,액션/어드벤처,4.6,https://play.google.com/store/movies/details/%EA%B7%B8%EB%A6%B0%EC%B9%98?id=Jnv_7Yxd6SA.P
7,Gran Turismo: Based on a True Story,US$5.99,액션/어드벤처,4.5,https://play.google.com/store/movies/details/Gran_Turismo_Based_on_a_True_Story?id=WAne2ejuMCk.P
8,Sound of Freedom,US$14.99,드라마,3.8,https://play.google.com/store/movies/details/Sound_of_Freedom?id=m5Enz_1J5X0.P
9,블루 비틀,US$5.99,액션/어드벤처,4.2,https://play.google.com/store/movies/details/%EB%B8%94%EB%A3%A8_%EB%B9%84%ED%8B%80?id=YIyiDG0XpxI.P
10,The Last Voyage Of The Demeter,US$5.99,공포,4.3,https://play.google.com/store/movies/details/The_Last_Voyage_Of_The_Demeter?id=29Awta4ucbQ.P
11,Talk To Me,US$4.99,공포,4.1,https://play.google.com/store/movies/details/Talk_To_Me?id=TkS8iY1KKo4.P
12,인디아나 존스: 운명의 다이얼,US$10.99,액션/어드벤처,3.9,https://play.google.com/store/movies/details/%EC%9D%B8%EB%94%94%EC%95%84%EB%82%98_%EC%A1%B4%EC%8A%A4_%EC%9A%B4%EB%AA%85%EC%9D%98_%EB%8B%A4%EC%9D%B4%EC%96%BC?id=vde8BhPvU1s.P
13,Saw X,US$5.99,드라마,4.2,https://play.google.com/store/movies/details/Saw_X?id=QvB0QE7LHNk.P
14,그린치,US$3.99,액션/어드벤처,5.0,https://play.google.com/store/movies/details/%EA%B7%B8%EB%A6%B0%EC%B9%98?id=Smxt1TefsgQ.P
15,PAW Patrol: The Mighty Movie,US$19.99,애니메이션,4.1,https://play.google.com/store/movies/details/PAW_Patrol_The_Mighty_Movie?id=Uy57rmtRPSI.P
16,John Wick: Chapter 4,US$5.99,액션/어드벤처,4.5,https://play.google.com/store/movies/details/John_Wick_Chapter_4?id=vjT2U7xk-1A.P
17,헝거게임,US$3.99,액션/어드벤처,4.6,https://play.google.com/store/movies/details/%ED%97%9D%EA%B1%B0%EA%B2%8C%EC%9E%84?id=ZfcZfNFw22M.P
18,슈퍼 마리오 브라더스,US$5.99,키즈,4.4,https://play.google.com/store/movies/details/%EC%8A%88%ED%8D%BC_%EB%A7%88%EB%A6%AC%EC%98%A4_%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4?id=4RC9kFYNFKY.P
19,The Expendables 4,US$5.99,액션/어드벤처,4.6,https://play.google.com/store/movies/details/The_Expendables_4?id=2CYWpslpars.P
20,After Everything,US$5.99,로맨스,3.8,https://play.google.com/store/movies/details/After_Everything?id=eRyIZULtJKA.P
21,Spider-Man: Across the Spider-Verse,US$5.99,애니메이션,4.8,https://play.google.com/store/movies/details/Spider_Man_Across_the_Spider_Verse?id=i2gpaZXJheE.P
22,The Exorcist: Believer,US$19.99,공포,3.2,https://play.google.com/store/movies/details/The_Exorcist_Believer?id=OYHeuN-LVsY.P
23,Spider-Man: No Way Home (Extended Version),US$3.99,SF/판타지,4.5,https://play.google.com/store/movies/details/Spider_Man_No_Way_Home_Extended_Version?id=3rrSHgQzudM.P
24,Weird: The Al Yankovic Story,US$3.99,코미디,5.0,https://play.google.com/store/movies/details/Weird_The_Al_Yankovic_Story?id=odb_TXAGb3M.P
25,The Other Zoey,US$6.99,코미디,5.0,https://play.google.com/store/movies/details/The_Other_Zoey?id=THsCVGJ0gaA.P
26,메가로돈 2,US$5.99,액션/어드벤처,4.2,https://play.google.com/store/movies/details/%EB%A9%94%EA%B0%80%EB%A1%9C%EB%8F%88_2?id=K3hHVtHG3o0.P
27,BlackBerry,US$3.99,코미디,3.8,https://play.google.com/store/movies/details/BlackBerry?id=6xipXtXS7vg.P
28,엘프,US$3.99,코미디,4.4,https://play.google.com/store/movies/details/%EC%97%98%ED%94%84?id=mCz8bAM5A3I.P
29,The Hunger Games: Catching Fire,US$3.99,액션/어드벤처,4.8,https://play.google.com/store/movies/details/The_Hunger_Games_Catching_Fire?id=aBbdSJhMzMQ.P
30,Fast X,US$5.99,액션/어드벤처,4.4,https://play.google.com/store/movies/details/Fast_X?id=9LmM-prgACo.P
31,Dumb Money,US$5.99,코미디,3.7,https://play.google.com/store/movies/details/Dumb_Money?id=Rp-mUkeoMXY.P
32,Strays,US$5.99,애니메이션,4.5,https://play.google.com/store/movies/details/Strays?id=lrD35h7dVDA.P
33,Spider-Man: Into The Spider-Verse,US$3.99,애니메이션,4.8,https://play.google.com/store/movies/details/Spider_Man_Into_The_Spider_Verse?id=-NHHc4nIhxk
34,No Hard Feelings,US$5.99,코미디,4.1,https://play.google.com/store/movies/details/No_Hard_Feelings?id=HQRK8Qu7Kbc.P
35,The Blind,US$19.99,드라마,5.0,https://play.google.com/store/movies/details/The_Blind?id=-G5uN_sT8Ig.P
36,The Polar Express,US$3.99,애니메이션,3.8,https://play.google.com/store/movies/details/The_Polar_Express?id=sJP_5uAvn1I.P
37,나 홀로 집에,US$3.99,코미디,4.7,https://play.google.com/store/movies/details/%EB%82%98_%ED%99%80%EB%A1%9C_%EC%A7%91%EC%97%90?id=fHWxYoYDOWk.P
38,더 넌 2,US$5.99,공포,4.5,https://play.google.com/store/movies/details/%EB%8D%94_%EB%84%8C_2?id=FCyfq5i9Mng.P
39,The Equalizer,US$3.99,액션/어드벤처,4.5,https://play.google.com/store/movies/details/The_Equalizer?id=vTQIRJzKdJo
40,"Hunger Games, The: Mockingjay - Part 1",US$3.99,액션/어드벤처,4.5,https://play.google.com/store/movies/details/Hunger_Games_The_Mockingjay_Part_1?id=gl5o1HIqgSM.P
41,Everything Everywhere All At Once,US$3.99,SF/판타지,4.5,https://play.google.com/store/movies/details/Everything_Everywhere_All_At_Once?id=W0kO0gqFbBM.P
42,Aristotle and Dante Discover The Secrets of the Universe,US$3.99,드라마,4.8,https://play.google.com/store/movies/details/Aristotle_and_Dante_Discover_The_Secrets_of_the_Un?id=y5_KkT03vCg.P
43,The Hunger Games: Mockingjay Part 2,US$3.99,액션/어드벤처,4.6,https://play.google.com/store/movies/details/The_Hunger_Games_Mockingjay_Part_2?id=x4g4G_eDyp4.P
44,Alien: Covenant,US$3.99,SF/판타지,3.9,https://play.google.com/store/movies/details/Alien_Covenant?id=t-WKh3Aoukg
45,트롤 :월드투어,US$3.99,애니메이션,4.1,https://play.google.com/store/movies/details/%ED%8A%B8%EB%A1%A4_%EC%9B%94%EB%93%9C%ED%88%AC%EC%96%B4?id=2LOlwQzNz2U.P
