,이름,기존 가격,할인된 가격,평점,평점 수
103,"삼성전자 비스포크 인피니트 1도어 냉장고 RR40C8995APG (408L, 세라화이트, 우개폐)","2,950,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
104,"삼성전자 비스포크 냉장고 4도어 프리스탠딩 RF85C9241AP (865 L, 새틴화이트)","4,050,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
105,"삼성전자 비스포크 냉장고 4도어 키친핏 RF60C9012AP (615L, 새틴화이트)","3,340,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
106,"삼성전자 비스포크 냉장고 4도어 키친핏 RF60C93T2AP (596L, 새틴화이트)","3,770,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
107,"삼성전자 비스포크 정수기 냉장고 4도어 프리스탠딩 RF85C97Y2AP (829L, 새틴화이트)","4,740,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
108,"삼성전자 비스포크 정수기 냉장고 4도어 프리스탠딩 RF85C96X2AP (833L, 새틴화이트)","3,910,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
109,"삼성전자 비스포크 냉장고 4도어 프리스탠딩 RF85C9581APW (841L, 새틴화이트)","5,590,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
110,"삼성전자 비스포크 냉장고 4도어 키친핏 인피니트 RF60C99Z1APG (594L, 타임리스 그레이지)","4,960,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
111,"삼성전자 비스포크 냉장고 1도어 인피니트 RR40C9971APG (396L, 세라화이트)","4,650,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
112,"삼성전자 비스포크 정수기 냉장고 4도어 프리스탠딩 RF85C97Y2AP (829L, 색상조합형)","4,440,000",할인된 가격 없음,4.7,(상품평673건)
113,삼성전자 비스포크 1도어 변온 냉동고 좌개폐 RZ24C58E0AP(글라스),"1,252,916",할인된 가격 없음,평점 정보 없음,평점 수 없음
114,삼성전자 비스포크 1도어 냉장고 좌개폐 RR40C7885AP(메탈),"1,488,723",할인된 가격 없음,평점 정보 없음,평점 수 없음
115,삼성전자 비스포크 4도어 냉장+김치냉장고 세트 RF60C9013AP+RQ42C94R2AP(메,"4,136,241",할인된 가격 없음,평점 정보 없음,평점 수 없음
116,삼성전자 비스포크 1도어 변온 냉동고 우개폐 RZ24C59E0AP(메탈),"1,252,916",할인된 가격 없음,평점 정보 없음,평점 수 없음
117,삼성전자 비스포크 1도어 냉장고 우개폐 RR40C7985AP(글라스),"1,488,723",할인된 가격 없음,평점 정보 없음,평점 수 없음
118,삼성전자 비스포크 4도어 냉장+김치냉장고 세트 RF60C9013AP+RQ42C94R2AP(글,"4,136,241",할인된 가격 없음,평점 정보 없음,평점 수 없음
119,삼성전자 비스포크 1도어 냉동고 우개폐 RZ34C7955AP(메탈),"1,532,241",할인된 가격 없음,평점 정보 없음,평점 수 없음
120,삼성전자 비스포크 1도어 냉동고 우개폐 RZ34C7955AP(글라스),"1,532,241",할인된 가격 없음,평점 정보 없음,평점 수 없음
121,삼성전자 비스포크 1도어 변온 냉동고 우개폐 RZ24C59E0AP(글라스),"1,252,916",할인된 가격 없음,평점 정보 없음,평점 수 없음
122,삼성전자 비스포크 1도어 냉동고 좌개폐 RZ34C7855AP(메탈),"1,532,241",할인된 가격 없음,평점 정보 없음,평점 수 없음
123,삼성전자 비스포크 1도어 냉동고 좌개폐 RZ34C7855AP(글라스),"1,532,241",할인된 가격 없음,평점 정보 없음,평점 수 없음
124,삼성전자 비스포크 1도어 냉장고 좌개폐 RR40C7885AP(글라스),"1,488,723",할인된 가격 없음,평점 정보 없음,평점 수 없음
125,삼성전자 비스포크 1도어 변온 냉동고 좌개폐 RZ24C58E0AP(메탈),"1,252,916",할인된 가격 없음,평점 정보 없음,평점 수 없음
126,삼성전자 비스포크 1도어 냉장고 우개폐 RR40C7985AP(메탈),"1,488,723",할인된 가격 없음,평점 정보 없음,평점 수 없음
127,더함 더함 2023년형 신제품 209L 메탈 슬림 일반 냉장고 R209D1-MS1TM(기사방문설치),"269,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
128,캐리어 [포토상품평이벤트] 모드비 양문형 냉장고 MRNS525BPM1 (블랙메탈) [525L],"849,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
129,캐리어 [포토상품평이벤트] 모드비 4도어 냉장고 MRNF474CPI1 (코타메탈) [464L],"1,090,000",할인된 가격 없음,5.0,(상품평2건)
130,캐리어 [포토상품평이벤트] 모드비 와인에디션 냉장고 MRNH553AWS1 (실버글라스) [553L],"1,599,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
131,LG전자 오브제컬렉션 노크온 냉장고 H874GWW312.CKOR [870L],"3,050,000","2,850,000",평점 정보 없음,평점 수 없음
132,하이얼 하이얼 대용량 냉동고 HUF457MNW (437L),"689,000","620,100",평점 정보 없음,평점 수 없음
133,하이얼 스탠드형 소형냉동고 HUF195MDB [173L],"409,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
134,LG전자 일반냉장고 J824MHH112.CKOR (820L),"3,600,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
135,삼성전자 일반냉장고 RT31CG5024S9 (300L),"710,000","639,000",평점 정보 없음,평점 수 없음
136,Belle [배송지역한정] 레트로 냉장고 NRD22ACM (크림) [221L],"468,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
137,더함 더함 2023년형 신제품 259L 메탈 슬림 일반 냉장고 R259D1-MS1TM(기사 방문설치),"309,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
138,더함 더함 2023년형 신제품 157L 화이트 슬림 콤비 냉장고 R157D1-MW1BM,"269,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
139,더함 더함 2023년형 신제품 86L 화이트 슬림 2도어 냉장고 R086D1-MW1BM,"199,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
140,LG전자 오브제 4도어 매직스페이스 냉장고 H874GCB111.CKOR [870L],"3,000,000","2,800,000",평점 정보 없음,평점 수 없음
141,"쿠잉 레트로 미니냉장고 REF-S92C (92L, 모던크림)","257,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
142,"쿠잉 레트로 냉장고 REF-C153C (151L, 크림)","412,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
143,LG전자 오브제 4도어 매직스페이스 냉장고 H874GBB111.CKOR [870L],"3,000,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
144,"쿠잉 레트로 냉장고 REF-D85C (80L, 모던크림)","319,000",할인된 가격 없음,5.0,(상품평1건)
145,"쿠잉 다목적 냉동고 FR-102CW (96L, 화이트)","199,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
146,쿠잉 콤비 냉장고 REF-C210S (205L),"360,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
147,"쿠잉 일반냉장고 REF-D212W (211L, 화이트)","309,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
148,쿠잉 다목적 냉동고 FR-302CW (295L),"348,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
149,"쿠잉 냉동고 BSF-175W (170L , 글라스화이트)","380,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
150,"캐리어 [패키지] 클라윈드 피트인 4도어 냉장고 KRNF566BPS1 (566L, 블랙메탈) + 클라윈드 19kg 전자동 세탁기 KWMT-190AWMWW","1,688,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
151,"구델 구델 레트로 미니 냉장고 RPD85CDD (84L, 크림)","299,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
152,"하이메이드 4도어 냉장고 HRF618NFES2 (618L, 글라스 베이지)","1,429,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
153,오리온창홍 스탠드 냉동고 BM146DS (146L ),"379,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
154,오리온창홍 스탠드 냉동고 BM085DS (85L),"259,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
155,삼성전자 삼성 비스포크 냉장고 브라우니실버 RF85C90D2T1,"1,960,337",할인된 가격 없음,평점 정보 없음,평점 수 없음
156,삼성전자 삼성 비스포크 냉장고 브라우니실버 RF85C9141T1,"2,464,337",할인된 가격 없음,평점 정보 없음,평점 수 없음
157,삼성전자 삼성 비스포크 냉장고 브라우니실버 RF60C9013T1,"2,314,554",할인된 가격 없음,평점 정보 없음,평점 수 없음
158,삼성전자 삼성 비스포크 냉장고 브라우니실버 RF85C91D1T1,"2,421,831",할인된 가격 없음,평점 정보 없음,평점 수 없음
159,삼성전자 삼성 비스포크 냉장고 브라우니실버 RF85C90D1T1,"2,121,253",할인된 가격 없음,평점 정보 없음,평점 수 없음
160,"삼성전자 비스포크 냉장고 4도어 키친핏 RF60C9011AP (615L, 색상조합형)","3,140,000",할인된 가격 없음,4.8,(상품평237건)
161,"삼성전자 비스포크 4도어 키친핏 RF60C901101 (615L, 코타화이트)","3,040,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
162,하이메이드 하이메이드 일반냉장고 HRF-490HHY(490L),"749,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
163,삼성전자 비스포크 키친핏 페어킷 설치자재 RA-C00K1CAA,"100,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
164,메디하임 메디하임 2도어 냉장고 MHR-138GR 다크실버(128L),"287,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
165,메디하임 메디하임 2도어 냉장고 MHR-138GR 화이트(128L),"278,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
166,메디하임 메디하임 2도어 냉장고 MHR-175GR 다크실버(166L),"345,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
167,메디하임 메디하임 2도어 냉장고 MHR-175GR 화이트(166L),"330,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
168,메디하임 메디하임 MHR-202SG 냉동고(180L),"403,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
169,메디하임 메디하임 2도어 냉장고 MHR-230GR 다크실버(203L),"368,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
170,메디하임 메디하임 2도어 냉장고 MHR-230GR 화이트(203L),"356,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
171,메디하임 메디하임 2도어 냉장고 MHR-276DH(259L),"470,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
172,메디하임 메디하임 소형 냉장고 MHR-70G 실버(77L),"189,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
173,메디하임 메디하임 소형 냉장고 MHR-70GR 화이트(77L),"179,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
174,메디하임 메디하임 소형 냉장고 MHR-95GR 실버(85L),"248,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
175,메디하임 메디하임 소형 냉장고 MHR-95GR 화이트(85L),"242,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
176,ELBA 엘바 미니냉장고 47리터 ERK-47 (집중냉장/원룸/사무실),"175,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
177,ELBA 엘바 소형냉장고 83리터 ERK-83 (독립냉동/원룸/사무실),"265,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
178,삼성전자 삼성 일반냉장고 리파인드 이녹스 300L RT31CG5024S9,"610,265",할인된 가격 없음,평점 정보 없음,평점 수 없음
179,삼성전자 삼성 비스포크 냉장고 1도어 409L 우힌지 RR40C7905AP(글라스),"1,252,916",할인된 가격 없음,평점 정보 없음,평점 수 없음
180,삼성전자 삼성 비스포크 냉장고 1도어 409L 우힌지 RR40C7905AP(메탈),"1,252,916",할인된 가격 없음,평점 정보 없음,평점 수 없음
181,"삼성전자 비스포크 1도어 냉동고 RZ34C7805AP (347L, 색상조합형, 좌개폐)","1,399,000",할인된 가격 없음,4.7,(상품평22건)
182,"삼성전자 비스포크 1도어 냉동고 RZ34C7905AP (347L, 색상조합형, 우개폐)","1,399,000",할인된 가격 없음,4.7,(상품평22건)
183,"삼성전자 비스포크 1도어 냉장고 RR40C7805AP (409L, 색상조합형, 좌개폐)","1,299,000",할인된 가격 없음,4.7,(상품평22건)
184,"삼성전자 비스포크 1도어 냉장고 RR40C7905AP (409L, 색상조합형, 우개폐)","1,299,000",할인된 가격 없음,4.7,(상품평22건)
185,"삼성전자 비스포크 1도어 냉장고 인피니트 RR40C9971APG (396L, 색상조합형, 우개폐)","3,750,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
186,"삼성전자 비스포크 1도어 냉장고 인피니트 RR40C9981APG (386L, 색상조합형, 우개폐)","4,000,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
187,"삼성전자 비스포크 1도어 냉동고 인피니트 RZ38C9891APG (379L, 색상조합형, 좌개폐)","3,850,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
188,"삼성전자 비스포크 1도어 냉동고 RZ24C58A0AP (240L, 색상조합형, 좌개폐)","1,049,000",할인된 가격 없음,4.9,(상품평10건)
189,"삼성전자 비스포크 1도어 냉동고 RZ24C59A0AP (240L, 색상조합형, 우개폐)","1,049,000",할인된 가격 없음,4.9,(상품평10건)
190,"삼성전자 비스포크 와인냉장고 1도어 인피니트 RW33C99B1TFG (색상조합형, 우개폐)","7,000,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
191,더함 더함 2023년형 신제품 117L 화이트 슬림 콤비 냉장고 R117D1-MW1BM (기사 방문설치),"239,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
192,더함 더함 2023년형 신제품 205L 화이트 슬림 콤비 냉장고 R205D1-MW1BM(기사 방문설치),"369,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
193,더함 더함 2023년형 신제품 46L 소형 일반 미니 원룸 기숙사 냉장고 R046D1-MW0TM 화이트 (택배배송 자가설치),"129,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
194,더함 더함 2023년형 신제품 92L 소형 일반 미니 원룸 기숙사 냉장고 R092D1-MW0TM 화이트 (택배배송 자가설치),"169,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
195,"삼성전자 비스포크 냉장고 4도어 키친핏 인피니트 RF60C99Z1APG (594L, 색상조합형)","3,460,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
196,"삼성전자 비스포크 1도어 냉동고 RZ34C88A5APG (306L, 색상조합형, 좌개폐)","2,450,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
197,"삼성전자 비스포크 1도어 냉동고 RZ34C8865APG (347L, 색상조합형, 좌개폐)","2,050,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
198,"삼성전자 비스포크 1도어 냉동고 RZ34C7955AP (347L, 색상조합형, 우개폐)","1,500,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
199,"삼성전자 비스포크 인피니트 1도어 냉장고 RR40C89A5APG (399L, 색상조합형, 우개폐)","2,300,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
200,"삼성전자 비스포크 인피니트 1도어 냉장고 RR40C8995APG (408L, 색상조합형, 우개폐)","2,050,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
